accession	description	base_count	scientific_name	tax_id	first_public	last_updated
GQ376035	Drosophila bipectinata alcohol dehydrogenase (ADH) gene, partial cds.	410	Drosophila bipectinata	42026	2009-08-02	2009-08-03
U90956	Drosophila tristis alcohol dehydrogenase (Adh) gene, partial cds.	428	Drosophila tristis	7284	1997-11-14	2006-11-14
X68165	Drosophila pseudoobscura Adh gene for alcohol dehydrogenase (PS314)	3460	Drosophila pseudoobscura	7237	1992-10-08	2006-11-14
Z00032	Drosophila orena alcohol dehydrogenase gene and flanking regions	2617	Drosophila orena	7233	1986-07-02	2006-11-14
AY006417	Drosophila neoperkinsi alcohol dehydrogenase (Adh) gene, partial cds.	510	Drosophila neoperkinsi	48320	2001-09-04	2005-09-26
AY750136	Drosophila okadai alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila okadai	311481	2005-12-31	2006-07-20
AY750139	Drosophila sordidula alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila sordidula	55950	2005-12-31	2006-07-20
DQ471659	Drosophila eohydei alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila eohydei	54075	2006-07-20	2006-07-20
DQ471661	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila kanekoi	50033	2006-07-20	2006-07-20
AB261136	Drosophila pallidifrons Adh gene for alcohol dehydrogenase, partial cds.	861	Drosophila pallidifrons	88884	2007-11-03	2007-11-03
AB932648	Drosophila bizonata Adh gene for alcohol dehydrogenase, partial cds.	844	Drosophila bizonata	188282	2015-01-14	2015-01-14
AF260692	Drosophila montana alcohol dehydrogenase-related protein gene, partial cds.	456	Drosophila montana	40370	2000-09-20	2005-04-15
AB932646	Drosophila angularis Adh gene for alcohol dehydrogenase, partial cds.	840	Drosophila angularis	309934	2014-10-26	2014-10-26
AB932662	Drosophila multispina Adh gene for alcohol dehydrogenase, partial cds.	852	Drosophila multispina	1503162	2014-10-26	2014-10-26
KM016471	Drosophila simulans isolate KY32 alcohol dehydrogenase-related gene, intron.	479	Drosophila simulans	7240	2014-09-24	2014-09-24
U26842	Drosophila montana alcohol dehydrogenase (Adh-1) gene, complete cds.	957	Drosophila montana	40370	1995-06-22	2005-04-17
X57374	Drosophila yakuba (individual j) Adh gene for alcohol dehydrogenase	975	Drosophila yakuba	7245	1991-07-17	2006-11-14
X60793	D.melanogaster (strain NC16) Adh gene for alcohol dehydrogenase	2763	Drosophila melanogaster	7227	1991-10-07	2006-11-14
AB033644	Drosophila brachynephros Adh mRNA for alcohol dehydrogenase, partial cds.	711	Drosophila brachynephros	106246	1999-11-16	2006-07-17
AB261135	Drosophila siamana Adh gene for alcohol dehydrogenase, partial cds.	855	Drosophila siamana	157059	2007-11-03	2007-11-03
AB932678	Drosophila transversa Adh gene for alcohol dehydrogenase, partial cds.	839	Drosophila transversa	193351	2014-10-26	2014-10-26
AH000980	Drosophila melanogaster alcohol dehydrogenase (ADH-71k) gene, complete cds.	2474	Drosophila melanogaster	7227	2016-06-13	2016-06-13
U95260	Drosophila willistoni Lima alcohol dehydrogenase (Adh) gene, complete cds.	1172	Drosophila willistoni	7260	1999-01-06	2005-04-18
U95266	Drosophila willistoni PA2 alcohol dehydrogenase (Adh) gene, complete cds.	1159	Drosophila willistoni	7260	1999-01-06	2005-04-18
X57372	Drosophila yakuba (individual h) Adh gene for alcohol dehydrogenase	975	Drosophila yakuba	7245	1991-07-17	2006-11-14
X57376	Drosophila yakuba (individual l) Adh gene for alcohol dehydrogenase	975	Drosophila yakuba	7245	1991-07-17	2006-11-14
AB932664	Drosophila nigromaculata Adh gene for alcohol dehydrogenase, partial cds.	849	Drosophila nigromaculata	198721	2015-01-14	2015-01-14
AB932679	Drosophila tripunctata Adh gene for alcohol dehydrogenase, partial cds.	836	Drosophila tripunctata	141217	2014-10-26	2014-10-26
AB932680	Drosophila unispina Adh gene for alcohol dehydrogenase, partial cds.	848	Drosophila unispina	193352	2015-01-14	2015-01-14
AF260699	Drosophila buzzatii alcohol dehydrogenase-related protein gene, complete cds.	2795	Drosophila buzzatii	7264	2000-09-20	2005-04-15
AB154553	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh12.	675	Drosophila kikkawai	30033	2004-04-01	2005-04-14
AF201429	Drosophila simulans isolate TT01 alcohol dehydrogenase (Adhr) gene, intron 1.	480	Drosophila simulans	7240	2000-07-03	2006-11-14
AY156525	Drosophila navojoa alcohol dehydrogenase 2 (adh-2) gene, complete cds.	878	Drosophila navojoa	7232	2003-03-03	2005-04-16
KX976486	Drosophila yakuba isolate Yakuba_SJ7 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
KX976513	Drosophila yakuba isolate Yakuba_2_11 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
AF201449	Drosophila simulans isolate MDW86 alcohol dehydrogenase (Adhr) gene, intron 1.	481	Drosophila simulans	7240	2000-07-03	2006-11-14
EU532128	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	562	Drosophila paulistorum	46793	2010-01-21	2010-01-21
HQ110512	Drosophila neocordata isolate D_neoc_c1 alcohol dehydrogenase (Adh) gene, partial cds.	830	Drosophila neocordata	30039	2011-05-06	2011-06-02
HQ110514	Drosophila neocordata isolate D_neoc_c3 alcohol dehydrogenase (Adh) gene, partial cds.	819	Drosophila neocordata	30039	2011-05-06	2011-06-02
HQ110515	Drosophila prosaltans isolate D_pros_c1 alcohol dehydrogenase (Adh) gene, partial cds.	859	Drosophila prosaltans	30042	2011-05-06	2011-06-02
KX976512	Drosophila yakuba isolate Yakuba_3_16 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
KX976518	Drosophila yakuba isolate Yakuba_1_7 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
M60980	Drosophila pseudoobscura (strain AH54) alcohol dehydrogenase (adh) gene, complete cds.	3476	Drosophila pseudoobscura	7237	1992-01-26	2006-11-14
AB154543	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh02.	675	Drosophila kikkawai	30033	2004-04-01	2005-04-14
AY335198	Drosophila saltans clone Dsalt2L alcohol dehydrogenase (Adh) gene, partial cds.	854	Drosophila saltans	7273	2003-12-31	2005-04-16
DQ471613	Drosophila angor strain B123 alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila angor	381448	2006-07-20	2006-07-20
DQ471644	Drosophila barutani strain 178 alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila barutani	381452	2006-07-20	2006-07-20
JX455213	Drosophila simulans isolate HW04 alcohol dehydrogenase (Adhr) gene, intron 1.	481	Drosophila simulans	7240	2012-09-03	2014-01-02
KX976489	Drosophila yakuba isolate Yakuba_SJ14 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
KX976497	Drosophila yakuba isolate Yakuba_Cascade_SN6 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
M60981	Drosophila pseudoobscura (strain AH69) alcohol dehydrogenase (adh) gene, complete cds.	3475	Drosophila pseudoobscura	7237	1992-01-26	2006-11-14
M60985	Drosophila pseudoobscura (strain AH135) alcohol dehydrogenase (adh) gene, complete cds.	3465	Drosophila pseudoobscura	7237	1992-04-30	2006-11-14
M60988	Drosophila pseudoobscura (strain AH165) alcohol dehydrogenase (adh) gene, complete cds.	3467	Drosophila pseudoobscura	7237	1992-04-30	2006-11-14
U95258	Drosophila willistoni Cano Mora alcohol dehydrogenase (Adh) gene, complete cds.	1172	Drosophila willistoni	7260	1999-01-06	2005-04-18
AB154544	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh03.	683	Drosophila kikkawai	30033	2004-04-01	2005-04-14
AY095943	Drosophila curvispina isolate cur3 alcohol dehydrogenase (Adh) gene, partial cds.	443	Drosophila curvispina	126591	2003-05-01	2008-12-16
DQ471653	Drosophila kanekoi strain 248 alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila kanekoi	50033	2006-07-20	2006-07-20
KX976500	Drosophila yakuba isolate Yakuba_Anton_1_Principe alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
KX976521	Drosophila yakuba isolate Yakuba_2_8 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
AB154551	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh10.	683	Drosophila kikkawai	30033	2004-04-01	2005-04-14
AF284481	Drosophila sechellia strain SS77 alcohol dehydrogenase (Adh) gene, partial cds.	700	Drosophila sechellia	7238	2000-11-02	2006-11-14
AY095938	Drosophila transversa isolate tra2 alcohol dehydrogenase (Adh) gene, partial cds.	437	Drosophila transversa	193351	2003-05-01	2008-12-16
DQ471654	Drosophila tsigana strain JP275 alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila tsigana	65966	2006-07-20	2006-07-20
EU532129	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	558	Drosophila paulistorum	46793	2010-01-21	2010-01-21
DQ471628	Drosophila angor strain Taiwan alcohol dehydrogenase (Adh) gene, partial cds.	711	Drosophila angor	381448	2006-07-20	2006-07-20
JX455216	Drosophila simulans isolate HW47 alcohol dehydrogenase (Adhr) gene, intron 1.	480	Drosophila simulans	7240	2012-09-03	2014-01-02
KX976492	Drosophila yakuba isolate Yakuba_SN7 alcohol dehydrogenase (Adh) mRNA, complete cds.	771	Drosophila yakuba	7245	2016-11-12	2016-11-12
AB669850	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L76.	833	Drosophila burlai	137355	2014-01-02	2014-01-02
AB669859	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: A126.	831	Drosophila bocki	103765	2014-01-02	2014-01-02
AF136695	Drosophila americana americana G96.14Y alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF459771	Drosophila kikkawai alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila kikkawai	30033	2002-05-16	2006-11-14
L78922	Drosophila mimica (strain 15292-2561.2) alcohol dehydrogenase gene, partial cds.	822	Drosophila mimica	7270	1996-06-25	2005-04-17
U64537	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS277 allele, complete cds.	3465	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U64542	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS308 allele, complete cds.	3481	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U64550	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS333 allele, complete cds.	3484	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U95271	Drosophila paulistorum Andean-Brazilian, ABM alcohol dehydrogenase (Adh) gene, complete cds.	1167	Drosophila paulistorum	46793	1999-01-06	2005-04-18
X54120	D.yakuba Adh gene for alcohol dehydrogenase and Adh-related gene	2284	Drosophila yakuba	7245	1992-04-14	2006-11-14
AF136661	Drosophila americana americana G96.48X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136667	Drosophila americana americana G96.33X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136668	Drosophila americana americana G96.21X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136699	Drosophila americana texana LP97.01 alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana texana	40372	1999-06-03	2005-04-15
AF459753	Drosophila biarmipes alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila biarmipes	125945	2002-05-16	2006-11-14
KY002642	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_KL6 alcohol dehydrogenase-like gene, complete sequence.	819	Drosophila melanogaster	7227	2017-10-13	2017-10-13
LC057205	Drosophila sp. XT-32 Adh gene for alcohol dehydrogenase, partial cds.	836	Drosophila sp. XT-32	1660393	2019-06-04	2019-06-04
U64529	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS251 allele, complete cds.	3491	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U64533	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS267 allele, complete cds.	3465	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
AB669834	Drosophila rufa Adh gene for alcohol dehydrogenase, partial cds, strain: EH091.	838	Drosophila rufa	67533	2014-01-02	2014-01-02
AB669882	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG1.	838	Drosophila bicornuta	112146	2014-01-02	2014-01-02
AF136694	Drosophila americana americana G96.11Y alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF459763	Drosophila watanabei alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila watanabei	94109	2002-05-16	2006-11-14
AF459772	Drosophila lini alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila lini	74550	2002-05-16	2006-11-14
L78928	Drosophila mimica (strain 15292-2561.9) alcohol dehydrogenase gene, partial cds.	822	Drosophila mimica	7270	1996-06-25	2005-04-17
U64546	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS322 allele, complete cds.	3504	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U64557	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS352 allele, complete cds.	3457	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
AB669864	Drosophila kikkawai Adh gene for alcohol dehydrogenase, partial cds, strain: NAHA1.	832	Drosophila kikkawai	30033	2014-01-02	2014-01-02
EF560573	Drosophila brncici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	622	Drosophila brncici	306027	2008-05-01	2008-07-12
U64539	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS295 allele, complete cds.	3489	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
U76477	Drosophila hydei strain 9 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	897	Drosophila hydei	7224	1996-11-19	2005-04-18
AB669824	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: TKNM1.	839	Drosophila asahinai	154832	2014-01-02	2014-01-02
AB669858	Drosophila barbarae Adh gene for alcohol dehydrogenase, partial cds, strain: MMY317.	833	Drosophila barbarae	137354	2014-01-02	2014-01-02
AF136659	Drosophila americana americana G96.14X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136682	Drosophila americana americana G96.47Y alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF136688	Drosophila americana americana G96.33Y alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF459775	Drosophila triauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	290	Drosophila triauraria	67534	2002-05-16	2006-11-14
AY804554	Drosophila santomea strain STO.4 alcohol dehydrogenase (Adh) gene, partial cds.	759	Drosophila santomea	129105	2005-10-06	2005-10-06
U76473	Drosophila hydei strain 5 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	897	Drosophila hydei	7224	1996-11-19	2005-04-18
AH011594	Drosophila biauraria strain 14028-0501.0 alcohol dehydrogenase (Adh) gene, partial cds.	565	Drosophila biauraria	73155	2016-04-08	2016-04-08
AY340288	Drosophila americana pop-variant NN00.03X alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY541093	Drosophila innubila strain CH2_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	555	Drosophila innubila	198719	2004-12-13	2005-08-24
AF006568	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	3465	Drosophila persimilis	7234	1997-09-11	2005-04-15
AY541097	Drosophila innubila strain CH3_M70 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	555	Drosophila innubila	198719	2004-12-13	2005-08-24
AY279326	Drosophila eugracilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.	2675	Drosophila eugracilis	29029	2004-03-31	2006-11-14
AY874369	Drosophila subobscura strain line 21 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	1406	Drosophila subobscura	7241	2005-05-31	2005-05-31
X04454	Drosophila melanogaster alcohol dehydrogenase null4 allele	2369	Drosophila melanogaster	7227	1986-11-18	2006-11-14
U64535	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS271 allele, and alcohol dehydrogenase-like protein gene, complete cds.	4594	Drosophila pseudoobscura	7237	1996-08-16	2005-04-18
X62185	D.pseudoobscura Adh gene for alcohol dehydrogenase	3498	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
AB703325	Drosophila tolteca Adh gene for alcohol dehydrogenase, partial cds, clone: D.tolteca.	405	Drosophila tolteca	7259	2012-03-18	2012-03-18
AF136676	Drosophila americana americana D.am-.1Y alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
X62219	D.pseudoobscura Adh gene for alcohol dehydrogenase	3447	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
AY340299	Drosophila americana pop-variant DN01.05Y alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
AY340303	Drosophila americana pop-variant NN97.09Y alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
X64485	D.pseudoobscura Adh gene for alcohol dehydrogenase	3472	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62238	D.pseudoobscura Adh gene for alcohol dehydrogenase	3479	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
M60792	Drosophila mimica alcohol dehydrogenase gene, complete cds.	895	Drosophila mimica	7270	1992-06-06	2006-11-14
AY340307	Drosophila americana pop-variant NN00.09Y alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
X62181	D.pseudoobscura Adh gene for alcohol dehydrogenase	3494	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
AB703321	Drosophila helvetica Adh gene for alcohol dehydrogenase, partial cds, clone: D.helvetica.	405	Drosophila helvetica	77129	2012-03-18	2012-03-18
X62188	D.pseudoobscura Adh gene for alcohol dehydrogenase	3472	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
X62201	D.pseudoobscura Adh gene for alcohol dehydrogenase	3479	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
AB932669	Drosophila putrida Adh gene for alcohol dehydrogenase, partial cds, strain: E-22401.	856	Drosophila putrida	38840	2014-10-26	2014-10-26
AF136651	Drosophila americana americana D.am-.1X alcohol dehydrogenase (Adh) gene, partial cds.	884	Drosophila americana americana	95109	1999-06-03	2005-04-15
AF476924	Drosophila quadraria strain 14028-0651.0 alcohol dehydrogenase (Adh) gene, partial cds.	405	Drosophila quadraria	67532	2002-04-26	2005-04-15
X62213	D.pseudoobscura Adh gene for alcohol dehydrogenase	3463	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
AY340296	Drosophila americana pop-variant DN01.01Y alcohol dehydrogenase (Adh) gene, partial cds.	881	Drosophila americana	40366	2003-08-13	2005-04-16
X64472	D.pseudoobscura Adh gene for alcohol dehydrogenase	3453	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
AY364497	Drosophila mojavensis strain MJS 84 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	880	Drosophila mojavensis	7230	2004-01-30	2005-04-16
X64477	D.pseudoobscura Adh gene for alcohol dehydrogenase	3506	Drosophila pseudoobscura	7237	1992-10-16	2006-11-14
AY874370	Drosophila subobscura strain line 22 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	1406	Drosophila subobscura	7241	2005-05-31	2005-05-31
AY238776	Drosophila miranda strain MA28 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	2042	Drosophila miranda	7229	2003-04-08	2005-04-16
EF560580	Drosophila pavani pop-variant La Florida alcohol dehydrogenase (adh) gene, partial cds.	626	Drosophila pavani	306031	2008-05-01	2008-07-12
LC057203	Drosophila lutescens Adh gene for alcohol dehydrogenase, partial cds, strain: AK96-3.	837	Drosophila lutescens	51159	2019-06-04	2019-06-04
AY750138	Drosophila robusta alcohol dehydrogenase (Adh) gene, partial cds.	911	Drosophila robusta	7257	2005-12-31	2006-07-20
